wemID,eventName
12889112,ba0405_collapse_footing_break_omen {r}
55118419,ba0405_collapse_footing_impact
845003595,ba0405_collapse_footing_impact
1072504792,ba0408_collapse_footing_fall {r}
310399127,ba0408_collapse_footing_fall {r}
292695636,ba0420_collapse_fall_impact {r}
602870903,ba0420_collapse_fall_impact {r}
685985375,ba0420_collapse_fall_impact {r}
713459906,ba0420_collapse_fall_impact {r}
779321481,ba0420_collapse_fall_impact {r}
773633539,ba0421_collapse_fall_impact {r}
1046363686,ba0421_collapse_fall_impact {r}
158124599,ba0421_collapse_fall_impact {r}
896034818,ba0421_collapse_fall_impact {r}
115955917,ba0421_collapse_fall_impact {r}
905906600,ba0433_gate_open_end
423587530,ba0433_gate_open_start {m}
842143310,ba0433_gate_open_start {m}
84128814,ba0434_gate_open_chain_loop
408659909,ba0434_gate_open_end
40052633,ba0434_gate_open_start {m}
148966347,ba0434_gate_open_start {m}
583219988,ba0435_trees_sway
664461969,ba0600_lift_arrive_first {r}
957543662,ba0600_lift_arrive_first {r}
664461969,ba0600_lift_arrive_point {r} {m}
957543662,ba0600_lift_arrive_point {r} {m}
167232664,ba0600_lift_arrive_point {r} {m}
891572804,ba0600_lift_arrive_point {r} {m}
481230373,ba0600_lift_leave_first {m}
862133022,ba0600_lift_leave_first {m}
891572804,ba0600_lift_leave_first {m}
976378118,ba0600_lift_leave_point {r} {m}
481230373,ba0600_lift_leave_point {r} {m}
790997442,ba0600_lift_leave_point {r} {m}
891572804,ba0600_lift_leave_point {r} {m}
721591320,ba0601_switch_on_01 {s}
572920443,ba0601_switch_on_02
319830701,ba0601_switch_on_03
680631621,ba0630_floor_end_impact
1031651008,ba0630_floor_start_impact {m}
888873100,ba0630_floor_start_impact {m}
1029477043,ba1000_door_chime
441175058,ba1000_warp_device_move
292111588,ba1000_warp_device_move_impact
703815759,ba1000_warp_device_move_plus
462424829,ba1000_warp_device_move_plus_impact
716187501,ba1000_warp_device_power
79342594,ba1001_door_close_impact
447365075,ba1001_door_close_start
1030291932,ba1001_door_open_impact
263579804,ba1001_door_open_start
442811673,ba1003_door_chime
55280483,ba1003_door_close_impact
590520715,ba1003_door_close_start
832021172,ba1003_door_open_impact
132839502,ba1003_door_open_start
544535790,ba1004_lift_close
836558135,ba1004_lift_move_end
693597197,ba1004_lift_move_loop
559656644,ba1004_lift_move_start
423294902,ba1004_lift_open
330324008,ba1005_door_close_impact
705096806,ba1005_door_close_start
734673449,ba1005_door_open_impact
159903515,ba1005_door_open_start
642658150,ba1005_move_loop
116735082,ba1100_door_chime
518407668,ba1100_warp_device_barrier_loop
922934512,ba1100_warp_device_barrier_off
871515149,ba1100_warp_device_barrier_on
560542583,ba1100_warp_device_first_boot
991401956,ba1100_warp_device_move
738166312,ba1100_warp_device_move_impact
515006278,ba1600_Mov_DoorOpen
463429302,ba1610_Mov_DoorOpen
961755173,ba2014_box_flash
829000041,ba2014_box_open
32963683,ba2014_box_open_pod
300254868,ba2015_box_flash
531195991,ba2015_box_open
722834896,ba2016_box_flash
825588967,ba2016_box_flash_b
948184773,ba2016_box_open
5861847,ba2020-0019-event
3234777,ba2020-0019-event
164936455,ba2100_debris_fall_float
292147115,ba2100_debris_fall_float
767183201,ba2100_debris_fall_float
589301646,ba2100_debris_fall_float
307220571,ba4210_mov_close_L
137158797,ba4210_mov_close_R
746005986,ba4221_gate_open_impact {r}
336451535,ba4221_gate_open_impact {r}
162608053,ba4221_gate_open_loop
606513980,ba5500_door_open_01
277003546,ba5500_door_open_02
915634615,ba5501_door_open_01
703916748,ba5501_door_open_02
429546985,ba5502_door_open_01
1041741132,ba5502_door_open_02
451872690,ba5503_door_open_01
878105653,ba5503_door_open_02
785442205,ba5504_cube_close
188262796,ba5504_cube_close
440449091,ba5504_cube_open
894809585,ba5504_cube_open
1040264386,ba6003_lift_arrive
228239289,ba6003_lift_close_impact
17531397,ba6003_lift_close_start
436580984,ba6003_lift_leave {m}
19023581,ba6003_lift_leave {m}
516024192,ba6003_lift_leave {m}
998064805,ba6003_lift_open_close_plus
510834823,ba6003_lift_open_impact
876576755,ba6003_lift_open_start_plus
177821747,bg0100-0006-event
746318773,bg0101_steam
1000078332,bg0288_debris_break
466949882,bg2043_idle_loop {r}
275679973,bg2043_idle_loop {r}
897692719,bg2043_idle_loop {r}
940228449,bg2043_idle_loop {r}
605891583,bg2043_idle_loop {r}
908586073,bg2043_idle_loop {r}
407512682,bg2043_idle_loop {r}
568732777,bg2043_idle_loop {r}
755017034,bg2043_idle_loop {r}
693344780,bg2043_idle_loop {r}
802920462,bg2043_idle_loop {r}
315730811,bg2043_idle_loop {r}
473358258,bg2043_idle_loop {r}
170272350,bg2043_idle_loop {r}
199551238,bg2043_idle_loop {r}
945952343,bg2043_idle_loop {r}
520059151,bg2043_idle_loop {r}
372588821,bg2043_idle_loop {r}
74432617,bg2043_idle_loop {r}
601419131,bg2043_idle_loop {r}
1047864156,bg2043_idle_loop {r}
135636875,bg2043_idle_loop {r}
751501830,bg2043_idle_loop {r}
704013227,bg2043_idle_loop {r}
364066923,bg2043_idle_loop {r}
885718403,bg2043_idle_loop {r}
543043855,bg2043_idle_loop {r}
333604925,bg2043_idle_loop {r}
287150815,bg2043_idle_loop {r}
217636727,bg2043_idle_loop {r}
420787596,bg2043_idle_loop {r}
115014891,bg2043_idle_loop {r}
569429632,bg2043_idle_loop {r}
628839419,bg2043_idle_loop {r}
156873334,bg2043_idle_loop {r}
131248704,bg2043_idle_loop {r}
162621907,bg2043_idle_loop {r}
571858476,bg2043_idle_loop {r}
161010471,bg2043_idle_loop {r}
544741570,bg2043_idle_loop {r}
531621139,bg2043_idle_loop {r}
1024751099,bg2043_idle_loop {r}
230613611,bg2043_idle_loop {r}
256692338,bg2043_idle_loop {r}
42771600,bg2043_idle_loop {r}
180253098,bg2043_idle_loop {r}
111092185,bg2043_idle_loop {r}
61321218,bg2043_idle_loop {r}
177385055,bg2043_idle_loop {r}
470431011,bg2043_idle_loop {r}
585388417,bg2043_idle_loop {r}
953326926,bg2043_idle_loop {r}
336071836,bg2043_idle_loop {r}
443468180,bg2043_idle_loop {r}
136382737,bg2043_idle_loop {r}
374943166,bg2043_idle_loop {r}
523962122,bg2043_idle_loop {r}
503208052,bg2043_idle_loop {r}
809541418,bg2043_idle_loop {r}
871392117,bg2043_idle_loop {r}
291447896,bg2043_idle_loop {r}
449745683,bg2043_idle_loop {r}
345015518,bg2043_idle_loop {r}
177467675,bg2043_idle_loop {r}
93559133,bg2043_idle_loop {r}
503180262,bg2043_idle_loop {r}
439052094,bg2043_idle_loop {r}
548358406,bg2043_idle_loop {r}
1067390089,bg2043_idle_loop {r}
144502868,bg2043_idle_loop {r}
865737843,bg2043_idle_loop {r}
854750729,bg2043_idle_loop {r}
944460499,bg2043_idle_loop {r}
104576117,bg2043_idle_loop {r}
614915186,bg2043_idle_loop {r}
322401319,bg2043_idle_loop {r}
77307549,bg2043_idle_loop {r}
816964520,bg2043_idle_loop {r}
706432058,bg2043_idle_loop {r}
278606122,bg2043_idle_loop {r}
720618261,bg2043_idle_loop {r}
106527311,bg2043_idle_loop {r}
522269482,bg2043_idle_loop {r}
154648169,bg2043_idle_loop {r}
868453960,bg2043_idle_loop {r}
480682049,bg2043_idle_loop {r}
908433162,bg2043_idle_loop {r}
825438734,bg2043_idle_loop {r}
430121748,bg2043_idle_loop {r}
248486401,bg2043_idle_loop {r}
667264633,bg2043_idle_loop {r}
397032453,bg2043_idle_loop {r}
333278838,bg2043_idle_loop {r}
510362165,bg2043_idle_loop {r}
210793750,bg2043_idle_loop {r}
28662252,bg20a0_cube_land
960132111,bg20a0_cube_move_start {r}
946240444,bg20a0_cube_move_start {r}
934137165,bg20a0_cube_move_start {r}
733622430,bg20a0_cube_move_start {r}
716419750,bg20a1_cube_land
702628203,bg20a1_cube_move_start {r}
742819571,bg20a1_cube_move_start {r}
956796454,bg20a1_cube_move_start {r}
228492971,bg20a1_cube_move_start {r}
375169833,bg20a2_cube_move_start {r}
199152974,bg20a2_cube_move_start {r}
172078348,bg20a2_cube_move_start {r}
492019612,bg20a2_cube_move_start {r}
498257061,bg20a3_cube_move_start {r}
812113156,bg20a3_cube_move_start {r}
989595001,bg20a3_cube_move_start {r}
949719868,bg20a3_cube_move_start {r}
996335529,bg3020-0008-event {s}
254934181,bg3020_c4bomb_exp
666650751,bg4010_idle_loop
750341883,bg4010_idle_stop
935026878,bg6000_tower_access_error
196046518,bg6000_tower_access_error
390814632,bg6000_tower_access_possible
498658803,bg6000_tower_access_possible
763680065,bg6001_Mov_SubTowerShield_KeepOut
366811670,bg6001_Mov_SubTowerShield_Pass
390814632,bg6001_tower_sub_access_possible
251268100,bg6001_tower_sub_access_possible
352794646,bg6001_tower_sub_barrier_off
63473922,bg6001_tower_sub_barrier_off
104198292,bga104_fishing_chair_in
675705387,bga104_fishing_chair_out
992919079,bga104_fishing_fish {r}
991559346,bga104_fishing_fish {r}
648937176,bga104_fishing_fish {r}
1008926387,bga104_fishing_fish_large {r}
841736834,bga104_fishing_fish_large {r}
135023813,bga104_fishing_hit {r}
625222250,bga104_fishing_hit {r}
710613935,bga104_fishing_hit {r}
1059901001,bga104_fishing_hit_loop {r}
703825522,bga104_fishing_hit_loop {r}
753498715,bga104_fishing_jumping_etf000 {r}
110491375,bga104_fishing_jumping_etf000 {r}
399653435,bga104_fishing_jumping_etf000 {r}
184502702,bga104_fishing_jumping_etf003 {r}
800843044,bga104_fishing_jumping_etf003 {r}
17562486,bga104_fishing_jumping_etf003 {r}
360910765,bga104_fishing_jumping_etf007
184502702,bga104_fishing_jumping_etf008 {r}
800843044,bga104_fishing_jumping_etf008 {r}
17562486,bga104_fishing_jumping_etf008 {r}
289916837,bga104_fishing_jumping_etf021 {r}
539777364,bga104_fishing_jumping_etf021 {r}
72914409,bga104_fishing_jumping_etf021 {r}
196117971,bga104_fishing_jumping_etf022 {r}
43492882,bga104_fishing_jumping_etf022 {r}
164314824,bga104_fishing_jumping_etf023 {r}
515829793,bga104_fishing_jumping_etf023 {r}
514168278,bga104_fishing_jumping_etf02b {r}
475071394,bga104_fishing_jumping_etf02b {r}
43492882,bga104_fishing_jumping_etf02d
